	Iozone: Performance Test of File I/O
	        Version $Revision: 3.397 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer.
	             Ben England.

	Run began: Sat Nov  2 01:08:04 2013

	Excel chart generation enabled
	Auto Mode
	Using maximum file size of 2097152 kilobytes.
	Command line used: iozone -Ra -g 2G -b iozone_results/iozone-run-1.csv
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  520419 1279447  2801873  3363612 2203800 1232453 1879725  1013707  2278628  1421755  1385075 2801873  3363612
              64       8  703068 1780008  4988978  5283570 3738358 1879725 3057153  2203800  3958892  2203800  1991276 4988978  5389653
              64      16  809014 2203800  6421025  7100397 5283570 2561267 4274062  2892445  5389653  2467108  2801873 6421025  7100397
              64      32  852702 2467108  7940539  9006179 7940539 3057153 5283570  3363612  7100397  2662899  4018152 7100397  9006179
              64      64  877797 2689580  9006179 10821524 7940539 3588436 5860307  3588436  7940539  3363612  3203069 8182586 10821524
             128       4  606082 1346196  3199360  3380677 2248149 1254941 2027414  1377278  2202044  1471662  1424795 3053774  3199360
             128       8  800337 1905110  4934216  5325799 3759450 1827299 3380677  2202044  3982553  2132084  2066432 4934216  5122535
             128      16  934004 2132084  6727225  7082197 5325799 2608629 4596273  2920861  5545860  2920861  2714132 6114306  6727225
             128      32 1024942 2784517  8414153  9129573 7176872 3199360 5784891  3657016  7582312  3657016  3468030 7917784  9129573
             128      64 1074159 2920861  9795896 10567140 8548124 3657016 6727225  3982553  8548124  2511022  4934216 9129573 10567140
